allow,"(1, 2)"
privately,"(1, 3)"
newspapers,"(1, 8)"
stop,"(1, 3)"
funding,"(1, 1)"
raise,"(1, 1)"
pay,"(1, 1)"
provide,"(1, 2)"
objective,"(1, 1)"
media,"(1, 16)"
singing,"(1, 1)"
patriotic,"(1, 7)"
songs,"(1, 3)"
listening,"(1, 1)"
impromptu,"(1, 1)"
organizers,"(1, 1)"
meanwhile,"(1, 3)"
xinhua,"(1, 4)"
entrance,"(1, 2)"
zhongnanhai,"(1, 4)"
seat,"(1, 1)"
demanded,"(1, 4)"
dialogue,"(1, 11)"
restrained,"(1, 1)"
entering,"(1, 4)"
compound,"(1, 3)"
sit,"(1, 2)"
persuaded,"(1, 5)"
leave,"(1, 13)"
200,"(1, 2)"
batons,"(1, 1)"
minor,"(1, 2)"
clashes,"(1, 2)"
felt,"(1, 3)"
abused,"(1, 1)"
rumours,"(1, 1)"
brutality,"(1, 1)"
angered,"(1, 1)"
active,"(1, 1)"
decided,"(1, 2)"
join,"(1, 6)"
group,"(1, 10)"
autonomous,"(1, 4)"
federation,"(1, 3)"
issued,"(1, 8)"
handbills,"(1, 1)"
challenging,"(1, 1)"
funeral,"(1, 4)"
100,"(1, 6)"
ignoring,"(1, 1)"
orders,"(1, 4)"
municipal,"(1, 5)"
closed,"(1, 3)"
inside,"(1, 10)"
attended,"(1, 2)"
broadcast,"(1, 6)"
live,"(1, 4)"
delivered,"(1, 3)"
eulogy,"(1, 1)"
seemed,"(1, 4)"
rushed,"(1, 1)"
lasted,"(1, 1)"
minutes,"(1, 3)"
emotions,"(1, 2)"
ran,"(1, 2)"
wept,"(1, 1)"
cordoned,"(1, 1)"
east,"(1, 12)"
forward,"(1, 2)"
cross,"(1, 5)"
line,"(1, 1)"
zhou,"(1, 5)"
yongjun,"(1, 2)"
guo,"(1, 1)"
haifeng,"(1, 1)"
zhang,"(1, 10)"
zhiyong,"(1, 1)"
knelt,"(1, 1)"
steps,"(1, 1)"
petition,"(1, 1)"
li,"(1, 38)"
peng,"(1, 22)"
standing,"(1, 8)"
beside,"(1, 1)"
wu,"(1, 13)"
erkaixi,"(1, 5)"
brief,"(1, 1)"
emotional,"(1, 4)"
begging,"(1, 1)"
speak,"(1, 5)"
still,"(1, 9)"
cordon,"(1, 2)"
times,"(1, 3)"
shouting,"(1, 1)"
slogans,"(1, 3)"
rushing,"(1, 1)"
calmed,"(1, 1)"
waited,"(1, 1)"
leaving,"(1, 3)"
disappointed,"(1, 1)"
angry,"(1, 2)"
class,"(1, 5)"
boycott,"(1, 4)"
organizing,"(1, 2)"
banners,"(1, 1)"
formal,"(1, 3)"
union,"(1, 13)"
formed,"(1, 3)"
elected,"(1, 3)"
chair,"(1, 1)"
wang,"(1, 14)"
dan,"(1, 5)"
independent,"(1, 2)"
organization,"(1, 6)"
operating,"(1, 2)"
dusk,"(1, 1)"
serious,"(1, 4)"
rioting,"(1, 2)"
broke,"(1, 4)"
changsha,"(1, 2)"
arson,"(1, 1)"
rioters,"(1, 2)"
destroyed,"(1, 4)"
cars,"(1, 1)"
houses,"(1, 1)"
looting,"(1, 1)"
shops,"(1, 2)"
xihua,"(1, 1)"
38,"(1, 1)"
stores,"(1, 1)"
ransacked,"(1, 1)"
looters,"(1, 1)"
350,"(1, 1)"
arrested,"(1, 6)"
wuhan,"(1, 5)"
provincial,"(1, 3)"
situation,"(1, 8)"
volatile,"(1, 1)"
nationally,"(1, 2)"
meetings,"(1, 2)"
politburo,"(1, 10)"
psc,"(1, 11)"
stressed,"(1, 1)"
points,"(1, 1)"
discourage,"(1, 1)"
ask,"(1, 2)"
go,"(1, 3)"
back,"(1, 10)"
measures,"(1, 5)"
necessary,"(1, 5)"
combat,"(1, 1)"
open,"(1, 4)"
different,"(1, 3)"
condemn,"(1, 1)"
protestors,"(1, 4)"
recognize,"(1, 1)"
need,"(1, 3)"
take,"(1, 7)"
action,"(1, 14)"
dismissed,"(1, 1)"
calls,"(1, 1)"
scheduled,"(1, 4)"
korea,"(1, 4)"
turning,"(1, 4)"
point,"(1, 5)"
26,"(1, 8)"
editorial,"(1, 12)"
pushed,"(1, 3)"
backed,"(1, 1)"
departure,"(1, 2)"
acting,"(1, 1)"
executive,"(1, 2)"
authority,"(1, 4)"
met,"(1, 13)"
